DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3693.875,150.467,105.465,5.8,70.576,2.715
3694,150.409,105.393,5.865,70.417,2.714
3694.125,151.18,105.292,5.986,70.278,2.713
3694.25,152.094,104.899,6.222,70.171,2.715
3694.375,152.511,104.084,6.597,70.111,2.719
3694.5,152.197,102.886,7.057,70.107,2.726
3694.625,151.306,101.359,7.513,70.157,2.734
3694.75,150.271,99.79,7.889,70.259,2.739
3694.875,149.471,98.589,8.142,70.411,2.737
3695,149.196,97.975,8.292,70.623,2.729
3695.125,149.42,97.709,8.363,70.916,2.72
3695.25,149.832,97.428,8.372,71.316,2.714
3695.375,149.736,96.76,8.32,71.841,2.713
3695.5,148.79,95.83,8.196,72.474,2.714
3695.625,147.184,95.054,7.972,73.142,2.713
3695.75,145.491,95.119,7.642,73.732,2.711
3695.875,144.1,96.307,7.256,74.143,2.711
3696,142.822,98.603,6.865,74.326,2.713
3696.125,141.384,101.292,6.535,74.287,2.717
3696.25,140.084,103.564,6.329,74.069,2.718
3696.375,139.698,105.205,6.274,73.734,2.716
3696.5,140.643,106.809,6.333,73.34,2.716
3696.625,142.908,108.748,6.421,72.917,2.722
3696.75,145.864,111.215,6.385,72.459,2.732
3696.875,148.748,114.113,6.088,71.942,2.74
3697,150.877,117.249,5.525,71.371,2.738
3697.125,151.878,120.781,4.76,70.794,2.729
3697.25,151.739,124.476,3.946,70.269,2.717
3697.375,151.016,127.817,3.225,69.837,2.708
3697.5,150.438,130.394,2.722,69.516,2.702
3697.625,150.533,131.959,2.506,69.33,2.699
3697.75,151.835,131.909,2.713,69.314,2.699
3697.875,154.138,129.803,3.383,69.506,2.702
3698,156.416,125.835,4.398,69.946,2.705
3698.125,156.92,120.757,5.515,70.655,2.705
3698.25,155.08,115.376,6.493,71.609,2.702
3698.375,151.897,110.52,7.159,72.697,2.699
3698.5,149.406,106.812,7.457,73.735,2.699
3698.625,148.51,104.743,7.427,74.532,2.704
3698.75,148.502,104.746,7.121,74.953,2.707
3698.875,147.938,106.43,6.689,74.955,2.707
3699,146.56,108.97,6.263,74.586,2.7
3699.125,145.21,111.797,5.909,73.989,2.691
3699.25,144.935,114.323,5.63,73.389,2.684
