DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,0
3450.25,132.809,90.816,5.539,73.646,2.556,0
3450.375,134.006,91.856,5.573,73.959,2.545,0
3450.5,135.024,92.76,5.581,74.197,2.536,0
3450.625,135.762,93.638,5.558,74.335,2.53,0
3450.75,135.83,94.219,5.491,74.426,2.526,0
3450.875,134.895,94.284,5.372,74.465,2.523,0
3451,132.667,93.476,5.215,74.39,2.519,0
3451.125,129.002,91.061,5.104,74.184,2.516,0
3451.25,124.419,86.972,5.11,73.91,2.513,0
3451.375,119.986,82.025,5.25,73.691,2.515,0
3451.5,117.43,77.708,5.47,73.629,2.523,0
3451.625,117.86,75.221,5.778,73.809,2.535,0
3451.75,121.168,74.757,6.181,74.248,2.548,0
3451.875,125.801,75.571,6.626,74.816,2.556,0
3452,129.862,76.975,6.971,75.37,2.556,0
3452.125,131.952,78.265,7.116,75.765,2.551,0
3452.25,132.354,79.245,7.074,75.958,2.546,0
3452.375,132.24,80.311,6.962,75.999,2.542,0
3452.5,133.101,82.068,6.85,75.955,2.537,0
3452.625,135.032,84.522,6.743,75.866,2.529,0
3452.75,137.026,87.203,6.614,75.786,2.52,0
3452.875,137.865,89.632,6.419,75.746,2.515,0
3453,137.394,91.651,6.161,75.792,2.517,0
3453.125,137.13,94.056,5.891,75.966,2.526,0
3453.25,138.761,97.279,5.727,76.23,2.541,0
3453.375,144.064,101.251,5.897,76.576,2.559,0
3453.5,154.014,105.341,6.613,77.08,2.574,0
3453.625,167.11,108.848,7.779,77.892,2.585,0
3453.75,180.437,111.326,9.075,79.002,2.586,0
3453.875,189.984,112.392,10.078,80.138,2.577,0
3454,193.124,111.271,10.607,80.957,2.559,0
3454.125,189.874,106.984,10.822,81.277,2.535,0
3454.25,182.594,99.752,10.981,81.113,2.513,0
3454.375,174.441,91.68,11.16,80.586,2.499,0
3454.5,168.762,85.356,11.372,79.853,2.493,0
3454.625,166.504,81.864,11.568,79.064,2.495,0
3454.75,166.895,80.473,11.769,78.417,2.496,0
3454.875,167.865,79.342,12.025,77.978,2.494,0
3455,168.592,78.023,12.332,77.73,2.487,0
3455.125,170.26,77.534,12.699,77.58,2.479,0
3455.25,174.322,78.826,13.131,77.458,2.472,0
3455.375,180.467,81.689,13.565,77.344,2.472,0
3455.5,187.618,84.849,14.018,77.286,2.48,0
3455.625,195.755,86.625,14.754,77.286,2.493,0
3455.75,204.998,86.408,15.914,77.279,2.504,0
3455.875,215.448,84.76,17.451,77.102,2.508,0
3456,224.737,82.579,18.934,76.563,2.505,0
3456.125,229.883,80.403,19.902,75.755,2.502,0
3456.25,229.572,78.271,20.2,74.785,2.499,0
3456.375,225.183,76.046,20.071,73.727,2.496,0
3456.5,219.011,74.243,19.694,72.592,2.49,0
3456.625,213.049,73.613,19.13,71.433,2.481,0
3456.75,207.783,74.37,18.365,70.414,2.472,0
3456.875,203.363,75.927,17.519,69.711,2.468,0
3457,199.316,76.707,16.818,69.226,2.471,0
3457.125,195.337,75.487,16.468,68.822,2.481,0
3457.25,190.517,71.375,16.498,68.416,2.493,0
3457.375,184.822,65.366,16.747,68.019,2.502,0
3457.5,180.101,59.618,17.081,67.712,2.506,0
3457.625,179.41,56.794,17.447,67.524,2.507,0
3457.75,184.454,57.758,17.841,67.498,2.508,0
3457.875,193.615,61.8,18.278,67.614,2.51,0
3458,202.84,66.411,18.747,67.817,2.508,0
3458.125,209.351,69.95,19.165,68.018,2.503,0
3458.25,214.206,71.716,19.696,68.177,2.495,0
3458.375,222.83,71.758,20.94,68.327,2.486,0
3458.5,238.294,70.554,23.129,68.547,2.477,0
3458.625,260.862,70.084,25.98,68.897,2.467,0
3458.75,286.964,72.329,28.661,69.337,2.455,0
3458.875,310.096,77.263,30.441,69.743,2.442,0
3459,321.631,82.277,30.877,69.959,2.43,0
3459.125,312.511,83.441,29.597,69.809,2.424,0
3459.25,281.658,79.223,26.607,69.161,2.43,0
3459.375,236.452,70.375,22.447,68.015,2.453,0
3459.5,189.734,59.895,18.196,66.689,2.489,0
3459.625,153.121,51.052,14.805,65.471,2.526,0
3459.75,131.288,46.54,12.507,64.567,2.555,0
3459.875,121.565,46.575,10.98,64.052,2.565,0
3460,120.08,49.955,9.975,63.946,2.559,0
3460.125,119.972,54.499,9.058,64.205,2.544,0
3460.25,118.357,59.093,8.11,64.705,2.528,0
3460.375,113.735,62.624,6.994,65.142,2.516,0
3460.5,105.84,63.747,5.798,65.335,2.51,0
3460.625,96.333,62.093,4.767,65.253,2.506,0
3460.75,87.739,58.874,4.067,64.968,2.507,0
3460.875,81.802,55.835,3.71,64.616,2.512,0
3461,78.983,54.011,3.604,64.315,2.522,0
3461.125,78.517,54.161,3.517,64.173,2.53,0
3461.25,79.663,56.205,3.352,64.222,2.534,0
3461.375,81.671,59.604,3.107,64.431,2.532,0
3461.5,82.734,62.234,2.866,64.698,2.53,0
3461.625,81.738,62.426,2.724,64.924,2.53,0
3461.75,78.844,59.868,2.732,64.977,2.533,0
3461.875,75.742,56.129,2.864,64.795,2.536,0
3462,73.86,52.81,3.065,64.43,2.539,0
3462.125,73.503,50.566,3.284,64.039,2.541,0
3462.25,73.44,48.494,3.512,63.772,2.542,0
3462.375,72.706,46.051,3.729,63.692,2.544,0
3462.5,70.911,43.08,3.923,63.711,2.544,0
3462.625,69.14,40.455,4.063,63.711,2.544,0
3462.75,68.527,39.736,4.076,63.585,2.546,0
3462.875,69.543,41.682,3.93,63.314,2.551,0
3463,71.45,45.408,3.675,62.974,2.559,0
3463.125,73.593,49.651,3.397,62.694,2.57,0
3463.25,76.181,54.051,3.159,62.562,2.581,0
3463.375,79.7,58.773,2.97,62.571,2.589,0
3463.5,83.724,63.67,2.819,62.585,2.595,0
3463.625,86.579,66.849,2.757,62.504,2.599,0
3463.75,86.888,66.759,2.823,62.342,2.603,0
3463.875,84.878,63.758,2.996,62.192,2.608,0
3464,82.721,60.324,3.194,62.179,2.612,0
3464.125,82.058,58.346,3.348,62.372,2.615,0
3464.25,82.916,58.019,3.438,62.702,2.614,0
3464.375,83.556,57.658,3.503,63.039,2.608,0
3464.5,81.844,55.134,3.593,63.288,2.597,0
3464.625,77.108,49.814,3.723,63.408,2.582,0
3464.75,71.124,43.576,3.851,63.464,2.563,0
3464.875,66.388,39.074,3.904,63.523,2.544,0
3465,64.458,37.737,3.862,63.689,2.528,0
3465.125,65.096,38.943,3.771,63.953,2.517,0
3465.25,66.828,40.796,3.718,64.283,2.511,0
3465.375,68.997,42.324,3.771,64.561,2.507,0
3465.5,71.647,43.3,3.969,64.706,2.503,0
3465.625,75.534,43.606,4.434,64.689,2.501,0
3465.75,81.337,43.39,5.164,64.595,2.506,0
3465.875,88.444,43.545,6.004,64.451,2.521,0
3466,95.462,45.061,6.672,64.247,2.547,0
3466.125,100.69,47.974,6.973,64.036,2.577,0
3466.25,102.765,51.509,6.843,63.888,2.605,0
3466.375,102.026,54.666,6.444,63.887,2.624,0
3466.5,100.002,57.089,5.948,64.022,2.633,0
3466.625,98.454,59.311,5.514,64.241,2.632,0
3466.75,98.753,61.779,5.207,64.529,2.625,0
3466.875,100.672,64.364,5.025,64.981,2.613,0
