DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1,POR,real_value,pred_value
3964.565,148.414,112.999,4.939,78.702,2.68721,4.0,4.0,3.9200000762939453
3965.69,157.09,99.713,7.783,76.933,2.66779,3.3,3.299999952316284,3.4800000190734863
3966.69,161.533,108.086,7.304,78.708,2.65316,4.43,4.429999828338623,4.190000057220459
3967.815,158.796,113.859,6.121,79.501,2.63121,4.24,4.239999771118164,4.559999942779541
3968.815,161.25,99.655,8.468,78.628,2.64597,4.49,4.489999771118164,4.21999979019165
3969.815,163.446,97.375,9.16,79.513,2.72512,4.77,4.769999980926514,3.359999895095825
3970.815,177.791,112.965,8.769,79.566,2.66516,4.39,4.389999866485596,4.210000038146973
3971.44,172.607,109.238,8.1,78.286,2.63876,4.81,4.809999942779541,4.369999885559082
3972.69,178.253,118.014,8.291,76.521,2.73255,4.0,4.0,2.990000009536743
3973.815,198.824,110.934,11.852,78.854,2.62168,4.2,4.199999809265137,4.300000190734863
3974.815,203.103,103.971,13.276,78.34,2.64209,5.05,5.050000190734863,4.03000020980835
3975.815,192.56,99.131,12.666,76.846,2.64884,4.71,4.710000038146973,3.9600000381469727
3976.815,171.557,104.102,9.461,80.409,2.60042,4.7,4.699999809265137,4.739999771118164
3977.69,193.451,113.774,10.566,79.327,2.64058,4.49,4.489999771118164,4.260000228881836
3978.69,190.168,113.081,10.43,79.83,2.67845,4.5,4.5,3.930000066757202
3979.565,200.613,106.304,12.829,82.141,2.6635,4.66,4.659999847412109,4.110000133514404
3980.44,193.412,107.737,11.656,81.223,2.65279,4.63,4.630000114440918,4.239999771118164
3981.315,207.24,124.168,11.007,83.603,2.65279,5.07,5.070000171661377,4.230000019073486
3982.315,225.564,111.108,14.88,81.989,2.6,4.54,4.539999961853027,4.090000152587891
3983.315,140.216,95.009,6.131,71.492,2.64553,2.91,2.9100000858306885,3.5799999237060547
3984.315,110.67,76.306,4.707,72.361,2.67284,4.17,4.170000076293945,3.2699999809265137
3985.315,188.071,98.262,11.671,78.951,2.65413,4.53,4.53000020980835,4.210000038146973
3986.315,178.893,113.768,8.666,77.851,2.671,4.79,4.789999961853027,3.859999895095825
3987.19,187.282,123.948,8.306,82.518,2.67211,5.58,5.579999923706055,4.46999979019165
3988.19,181.505,105.84,10.097,81.679,2.63892,4.63,4.630000114440918,4.449999809265137
3988.94,182.485,93.878,11.876,83.349,2.61221,4.45,4.449999809265137,4.590000152587891
3990.065,192.733,101.155,12.307,85.879,2.65192,5.29,5.289999961853027,4.239999771118164
3991.065,182.92,100.348,11.252,84.597,2.63451,4.58,4.579999923706055,4.380000114440918
3991.69,179.657,103.168,10.221,85.923,2.64937,4.57,4.570000171661377,4.309999942779541
3992.94,172.776,105.753,9.005,85.731,2.62067,5.18,5.179999828338623,4.429999828338623
3993.815,152.832,91.281,8.618,79.045,2.6697,5.32,5.320000171661377,4.110000133514404
3994.94,185.183,86.91,13.035,84.236,2.63582,4.88,4.880000114440918,4.650000095367432
3995.815,169.077,103.221,8.965,81.104,2.609,4.66,4.659999847412109,4.679999828338623
3996.815,146.347,91.228,7.677,78.093,2.63163,5.37,5.369999885559082,4.369999885559082
3997.815,160.208,117.003,5.797,83.551,2.61275,5.93,5.929999828338623,4.480000019073486
3998.565,156.117,100.685,7.516,82.219,2.62378,5.07,5.070000171661377,4.590000152587891
3999.94,154.837,105.607,6.717,84.845,2.60918,5.23,5.230000019073486,4.630000114440918
4000.69,122.771,78.898,6.451,80.854,2.58696,4.69,4.690000057220459,4.260000228881836
4001.815,157.666,91.542,8.824,80.643,2.59649,4.54,4.539999961853027,4.840000152587891
4002.815,179.771,120.518,7.811,82.733,2.61958,4.82,4.820000171661377,4.429999828338623
4003.94,170.919,91.477,10.753,82.647,2.64926,5.47,5.46999979019165,4.539999961853027
4004.94,192.697,113.27,11.147,83.028,2.60875,5.77,5.769999980926514,4.320000171661377
4005.94,106.09,71.597,5.171,75.529,2.67414,2.23,2.2300000190734863,3.819999933242798
4006.94,146.415,98.404,6.55,76.289,2.6315,3.06,3.059999942779541,4.440000057220459
4007.94,168.505,122.909,6.043,76.733,2.66838,3.58,3.5799999237060547,3.950000047683716
4009.065,162.595,108.631,7.239,79.292,2.62334,4.32,4.320000171661377,4.579999923706055
4010.065,155.057,98.838,7.669,78.005,2.62,4.39,4.389999866485596,4.630000114440918
4011.19,152.714,103.541,6.61,76.747,2.63445,4.24,4.239999771118164,4.420000076293945
4012.065,145.236,97.792,6.463,75.113,2.62,3.76,3.759999990463257,4.570000171661377
4013.065,146.875,98.655,6.485,75.265,2.60324,3.54,3.5399999618530273,4.840000152587891
4014.565,140.053,86.744,7.397,75.067,2.61487,4.66,4.659999847412109,4.230000019073486
4015.69,155.679,91.787,8.517,76.729,2.58836,4.53,4.53000020980835,4.889999866485596
4016.69,138.626,94.962,5.892,73.735,2.63745,4.44,4.440000057220459,4.070000171661377
4017.815,140.664,88.548,7.028,73.738,2.62545,4.03,4.03000020980835,4.03000020980835
4018.815,138.837,85.331,7.589,74.066,2.60363,3.96,3.9600000381469727,4.260000228881836
4019.69,142.482,84.805,7.737,74.087,2.608,4.58,4.579999923706055,4.170000076293945
4020.69,140.687,95.699,6.06,74.441,2.61726,4.0,4.0,4.53000020980835
4021.94,141.018,84.393,7.649,75.345,2.611,4.09,4.090000152587891,4.179999828338623
4022.815,134.561,74.032,8.257,76.595,2.57251,4.94,4.940000057220459,4.230000019073486
4023.94,204.916,87.121,15.137,78.662,2.59042,5.32,5.320000171661377,4.409999847412109
4024.94,170.157,67.202,13.664,82.414,2.52,7.06,7.059999942779541,5.21999979019165
4025.94,184.969,73.571,14.783,78.541,2.55016,6.5,6.5,4.730000019073486
4026.94,167.327,59.7,14.414,74.813,2.50618,5.12,5.119999885559082,4.710000038146973
4027.94,141.338,52.124,12.115,72.944,2.51891,5.63,5.630000114440918,4.440000057220459
