DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1
3962.565,150.893,117.116,4.729,79.886,2.70222
3962.69,147.606,112.488,4.98,80.025,2.69405
3962.815,148.248,110.835,5.292,80.165,2.68483
3962.94,151.833,110.888,5.71,80.24,2.67884
3963.065,155.909,112.186,6.021,80.165,2.677
3963.19,158.136,113.808,6.087,79.946,2.67871
3963.315,159.141,115.112,6.053,79.651,2.681
3963.44,160.806,117.151,5.987,79.377,2.67974
3963.565,163.172,118.832,6.032,79.176,2.67362
3963.69,164.554,118.789,6.19,79.045,2.66447
3963.815,163.652,117.12,6.312,78.957,2.65524
3963.94,161.7,115.802,6.267,78.889,2.64961
3964.065,159.803,114.919,6.149,78.829,2.64884
3964.19,157.571,114.509,5.919,78.774,2.65732
3964.315,154.742,114.824,5.505,78.743,2.67107
3964.44,151.35,114.765,5.071,78.739,2.68358
3964.565,148.414,112.999,4.939,78.702,2.68721
3964.69,147.047,110.691,5.076,78.586,2.68176
3964.815,147.782,108.693,5.409,78.372,2.67189
3964.94,148.926,106.274,5.849,78.105,2.66111
3965.065,149.169,103.489,6.263,77.835,2.65124
3965.19,148.693,100.887,6.603,77.619,2.64297
3965.315,149.155,99.015,6.946,77.459,2.63824
3965.44,151.696,98.61,7.297,77.317,2.64253
3965.565,155.112,99.334,7.584,77.142,2.65474
3965.69,157.09,99.713,7.783,76.933,2.66779
3965.815,156.61,99.031,7.886,76.733,2.67361
3965.94,155.34,98.189,7.937,76.645,2.66932
3966.065,155.4,98.447,7.957,76.746,2.65837
3966.19,157.235,100.274,7.917,77.066,2.64593
3966.315,159.341,102.765,7.804,77.509,2.63689
3966.44,160.953,105.337,7.624,77.978,2.636
3966.565,161.785,107.129,7.464,78.385,2.64387
3966.69,161.533,108.086,7.304,78.708,2.65316
3966.815,159.748,108.012,7.12,78.971,2.65692
3966.94,157.029,106.839,6.973,79.244,2.65061
3967.065,154.708,105.154,6.941,79.572,2.63953
3967.19,153.881,104.06,6.993,79.936,2.62894
3967.315,154.459,104.248,7.013,80.24,2.62403
3967.44,155.719,105.503,6.955,80.4,2.62213
3967.565,157.28,108.016,6.761,80.339,2.62377
3967.69,158.506,111.112,6.461,80.026,2.62622
3967.815,158.796,113.859,6.121,79.501,2.63121
3967.94,158.536,115.517,5.867,78.88,2.63982
3968.065,158.614,116.668,5.711,78.371,2.65429
3968.19,158.694,116.277,5.762,78.079,2.67171
3968.315,156.961,111.549,6.23,78.053,2.68466
3968.44,154.27,104.633,6.923,78.216,2.687
3968.565,153.089,99.473,7.549,78.468,2.67684
3968.69,155.807,98.291,8.028,78.625,2.66068
3968.815,161.25,99.655,8.468,78.628,2.64597
3968.94,166.989,102.65,8.727,78.559,2.63855
3969.065,170.784,105.286,8.785,78.565,2.64127
3969.19,172.001,105.794,8.838,78.692,2.65647
3969.315,170.545,104.206,8.923,78.949,2.68574
3969.44,167.545,101.049,9.067,79.26,2.71916
3969.565,164.309,97.693,9.21,79.509,2.74305
3969.69,162.726,96.141,9.264,79.582,2.74305
3969.815,163.446,97.375,9.16,79.513,2.72512
3969.94,165.436,100.389,8.943,79.374,2.70479
3970.065,166.768,103.4,8.691,79.252,2.69368
3970.19,167.509,105.425,8.526,79.211,2.68978
3970.315,168.552,106.95,8.474,79.274,2.68729
3970.44,170.164,108.243,8.517,79.404,2.6815
3970.565,171.928,109.385,8.586,79.531,2.67443
3970.69,174.193,110.72,8.675,79.6,2.66867
3970.815,177.791,112.965,8.769,79.566,2.66516
3970.94,181.892,115.774,8.811,79.416,2.66194
3971.065,183.813,117.738,8.69,79.15,2.65891
3971.19,182.591,117.196,8.591,78.83,2.65229
3971.315,176.805,113.071,8.314,78.521,2.64407
